"filename", "language", "Batch", "Python", "Markdown", "JSON", "JavaScript", "PostCSS", "HTML", "XML", "pip requirements", "comment", "blank", "total"
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-addlink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-alert.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-changelink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-clock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-hidelink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-no.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
